order_item_id,order_id,item_id,item_quantity,item_price
1,1,20,1,242.24
2,2,20,1,242.24
3,3,19,1,276.57
4,3,8,1,379.43
5,4,21,1,277.83
6,4,20,2,242.24
7,5,19,2,276.57
8,5,20,1,242.24
9,5,20,2,242.24
10,5,20,1,242.24
11,6,10,2,175.66
12,7,20,1,242.24
13,7,20,1,242.24
14,8,20,1,242.24
15,9,24,1,204.9
16,10,35,1,371.38
17,11,35,1,371.38
18,11,20,1,242.24
19,12,8,1,379.43
20,12,8,1,379.43
21,12,6,1,222.55
22,13,6,1,222.55
23,13,20,1,242.24
24,13,35,1,371.38
25,13,19,1,276.57
26,14,8,2,379.43
27,14,21,1,277.83
28,15,35,1,371.38
29,15,4,1,235.14
30,15,31,1,243.47
31,16,20,1,242.24
32,17,35,1,371.38
33,17,31,1,243.47
34,18,21,1,277.83
35,18,4,1,235.14
36,19,30,1,220.9
37,19,20,1,242.24
38,19,6,1,222.55
39,20,19,1,276.57
40,21,10,1,175.66
41,21,14,1,274.04
42,22,35,1,371.38
43,22,21,1,277.83
44,23,35,1,371.38
45,24,20,2,242.24
46,25,23,1,354.77
47,25,20,1,242.24
48,25,20,1,242.24
49,26,30,2,220.9
50,27,33,1,201.16
51,28,35,1,371.38
52,28,19,1,276.57
53,29,20,1,242.24
54,29,11,1,218.64
55,30,12,1,154.48
56,31,35,1,371.38
57,32,35,2,371.38
58,32,20,1,242.24
59,32,19,2,276.57
60,33,20,1,242.24
61,33,20,1,242.24
62,34,21,1,277.83
63,34,8,1,379.43
64,35,20,1,242.24
65,35,30,1,220.9
66,36,6,1,222.55
67,36,30,1,220.9
68,37,20,1,242.24
69,38,4,1,235.14
70,39,6,2,222.55
71,39,35,1,371.38
72,39,8,1,379.43
73,40,35,2,371.38
74,41,20,1,242.24
75,42,20,2,242.24
76,42,35,1,371.38
77,43,6,1,222.55
78,43,17,1,172.29
79,44,28,1,344.6
80,44,35,2,371.38
81,45,12,1,154.48
82,46,31,1,243.47
83,46,5,1,237.27
84,47,21,2,277.83
85,47,20,1,242.24
86,47,20,2,242.24
87,48,35,1,371.38
88,49,20,1,242.24
89,49,25,1,166.85
90,49,17,1,172.29
91,50,35,1,371.38
92,51,19,1,276.57
93,52,20,1,242.24
94,52,21,1,277.83
95,53,20,2,242.24
96,54,21,1,277.83
97,54,21,1,277.83
98,55,35,1,371.38
99,55,20,1,242.24
100,56,20,1,242.24
101,56,24,1,204.9
102,56,19,1,276.57
103,56,31,1,243.47
104,57,20,1,242.24
105,57,20,1,242.24
106,58,20,1,242.24
107,58,10,1,175.66
108,59,35,1,371.38
109,60,14,1,274.04
110,61,8,1,379.43
111,61,20,2,242.24
