order_id,customer_id,staff_id,coupon_code,delivery_pincode,order_date,order_time,payment_method,delivery_status,promised_delivery_time,actual_delivery_time,total_amount
1,450,13,SUMMER10,247003,2026-06-23,Morning,UPI,Delivered,45,52,218.02
2,151,9,MONTHLY200,247001,2026-06-26,Evening,COD,Delivered,45,35,242.24
3,150,13,,247004,2026-05-22,Morning,COD,Delivered,45,40,656.0
4,142,10,,247667,2026-06-23,Evening,COD,Delivered,45,18,762.31
5,388,15,,247232,2026-04-08,Evening,UPI,Delivered,45,64,1522.1
6,422,20,,251001,2026-06-15,Evening,UPI,Delivered,45,21,351.32
7,351,8,,247232,2026-06-10,Other,UPI,Delivered,45,46,484.48
8,397,11,,247003,2026-06-21,Other,COD,Delivered,45,32,242.24
9,328,11,,247003,2026-05-31,Other,UPI,Delivered,45,36,204.9
10,68,9,,247004,2026-06-09,Morning,UPI,Delivered,45,15,371.38
11,484,9,FESTIVE15,247004,2026-06-15,Evening,UPI,Delivered,45,53,521.58
12,449,15,MONTHLY200,251001,2026-06-18,Evening,UPI,Delivered,45,15,981.41
13,136,5,,247661,2026-05-28,Morning,UPI,Delivered,45,38,1112.74
14,17,16,,248003,2026-04-27,Morning,UPI,Delivered,45,44,1036.69
15,426,10,,247004,2026-06-16,Other,UPI,Delivered,45,26,849.99
16,145,9,WELCOME10,251002,2026-06-12,Other,UPI,Delivered,45,23,218.02
17,424,9,MONTHLY200,250001,2026-06-29,Other,UPI,Delivered,45,30,614.85
18,104,9,SUMMER10,248003,2026-06-23,Morning,UPI,Cancelled,45,28,461.67
19,122,14,REFER20,247232,2026-06-29,Evening,COD,Preparing,45,39,548.55
20,276,20,NEWYEAR100,247661,2026-06-27,Afternoon,COD,Delivered,45,23,276.57
21,354,6,,249401,2026-06-28,Afternoon,COD,Delivered,45,61,449.7
22,332,9,MONTHLY200,250002,2026-06-19,Evening,COD,Delivered,45,38,649.21
23,155,19,REFER20,247003,2026-05-18,Other,UPI,Delivered,45,33,297.1
24,378,12,,250001,2026-06-06,Evening,UPI,Delivered,45,31,484.48
25,246,10,,251002,2026-06-27,Evening,UPI,Delivered,45,51,839.25
26,247,11,,251002,2026-06-25,Afternoon,UPI,Delivered,45,44,441.8
27,307,1,,250002,2026-04-03,Morning,UPI,Delivered,45,19,201.16
28,100,7,,250002,2026-05-30,Evening,UPI,Delivered,45,41,647.95
29,369,14,,247001,2026-06-20,Evening,COD,Delivered,45,24,460.88
30,27,13,GYM20,251002,2026-06-27,Morning,COD,Delivered,45,22,154.48
31,352,12,,249401,2026-06-25,Other,UPI,Delivered,45,15,371.38
32,211,8,,247232,2026-04-27,Evening,UPI,Delivered,45,42,1538.14
33,305,10,,247003,2026-06-28,Other,COD,Delivered,45,34,484.48
34,26,18,,251003,2026-06-03,Morning,COD,Delivered,45,54,657.26
35,299,19,,247003,2026-05-23,Afternoon,UPI,Delivered,45,50,463.14
36,296,7,,247003,2026-06-27,Afternoon,COD,Delivered,45,49,443.45
37,164,6,WEEKEND15,247001,2026-05-18,Other,UPI,Delivered,45,18,205.9
38,64,13,,247004,2026-06-04,Evening,COD,Delivered,45,45,235.14
39,195,15,,247001,2026-05-14,Evening,UPI,Delivered,45,27,1195.91
40,57,19,,247001,2026-05-03,Evening,UPI,Delivered,45,46,742.76
41,202,1,,251003,2026-05-05,Evening,COD,Delivered,45,35,242.24
42,192,14,MONTHLY200,247661,2026-06-22,Evening,COD,Delivered,45,17,855.86
43,97,13,,247003,2026-04-13,Evening,UPI,Delivered,45,32,394.84
44,155,15,,249402,2026-06-19,Evening,UPI,Delivered,45,40,1087.36
45,374,8,WEEKEND15,251001,2026-06-23,Evening,UPI,Delivered,45,19,154.48
46,114,4,,249401,2026-06-11,Evening,COD,Delivered,45,30,480.74
47,56,16,LOYALTY50,247003,2026-06-23,Morning,COD,Delivered,45,30,1232.38
48,498,14,,247661,2026-06-29,Morning,UPI,Cancelled,45,18,371.38
49,190,8,,247667,2026-06-29,Morning,UPI,Delivered,45,36,581.38
50,216,2,,250002,2026-06-23,Evening,UPI,Delivered,45,36,371.38
51,286,9,,250001,2026-06-23,Evening,COD,Delivered,45,35,276.57
52,210,18,NEWYEAR100,247232,2026-06-14,Morning,UPI,Delivered,45,53,420.07
53,276,16,,249402,2026-06-20,Morning,UPI,Delivered,45,26,484.48
54,338,11,,247001,2026-06-19,Afternoon,UPI,Delivered,45,48,555.66
55,77,18,BULK150,247001,2026-05-18,Afternoon,COD,Delivered,45,24,613.62
56,45,9,,247003,2026-04-22,Morning,COD,Delivered,45,36,967.18
57,327,10,,251001,2026-06-12,Afternoon,UPI,Delivered,45,20,484.48
58,477,6,BULK150,251002,2026-05-18,Evening,UPI,Delivered,45,44,417.9
59,209,10,,247003,2026-05-07,Evening,COD,Delivered,45,46,371.38
60,50,7,,249401,2026-06-26,Morning,COD,Delivered,45,29,274.04
61,125,9,,251001,2026-06-09,Morning,COD,Delivered,45,31,863.91
62,450,1,,251001,2026-06-21,Morning,UPI,Delivered,45,40,511.71
63,257,4,,249402,2026-05-29,Evening,UPI,Delivered,45,66,243.47
64,303,11,,247004,2026-06-12,Afternoon,COD,Delivered,45,36,1864.95
65,476,14,BULK150,251003,2026-06-25,Evening,UPI,Delivered,45,38,827.9
66,193,2,,250001,2026-02-14,Evening,COD,Cancelled,45,43,409.56
67,336,2,,247667,2026-06-12,Evening,UPI,Delivered,45,34,809.34
68,497,9,FLAT75,249401,2026-06-28,Other,UPI,Delivered,45,30,237.27
69,312,13,,250002,2026-06-28,Evening,COD,Delivered,45,35,840.14
70,194,6,,248003,2026-05-17,Evening,COD,Delivered,45,26,588.59
71,308,13,,247667,2026-06-06,Morning,UPI,Delivered,45,30,445.1
72,58,19,,251002,2026-05-10,Evening,UPI,Delivered,45,22,222.55
73,416,15,,251001,2026-06-06,Evening,UPI,Delivered,45,45,222.55
74,70,18,,249402,2026-06-27,Evening,COD,Delivered,45,20,845.41
75,20,11,,247661,2026-05-21,Morning,UPI,Delivered,45,55,555.09
76,469,18,NEWYEAR100,251002,2026-06-20,Morning,UPI,Delivered,45,29,412.93
77,444,16,GYM20,249401,2026-06-12,Evening,UPI,Delivered,45,27,235.14
78,201,1,,247667,2026-06-20,Evening,UPI,Delivered,45,46,774.04
79,191,9,,247001,2026-06-05,Evening,COD,Delivered,45,44,551.72
80,87,13,,247232,2026-06-21,Evening,UPI,Delivered,45,26,672.65
81,353,15,LOYALTY50,251003,2026-06-15,Other,UPI,Delivered,45,39,597.95
82,203,4,,247661,2026-06-25,Afternoon,COD,Delivered,45,26,685.66
83,214,16,,248003,2026-06-16,Evening,UPI,Delivered,45,53,371.38
84,325,20,,248003,2026-05-20,Evening,UPI,Delivered,45,28,893.57
85,157,8,LOYALTY50,251002,2026-06-29,Evening,COD,Delivered,45,49,414.79
86,500,11,,247003,2026-06-14,Evening,COD,Delivered,45,37,166.85
87,127,8,FLASH30,247667,2026-06-19,Morning,UPI,Delivered,45,16,339.14
88,221,14,,250001,2026-03-23,Evening,UPI,Delivered,45,61,389.62
89,334,8,FLASH30,247001,2026-06-17,Other,COD,Delivered,45,47,218.64
90,366,8,,249401,2026-03-30,Morning,UPI,Delivered,45,25,518.81
91,138,8,FESTIVE15,247004,2026-06-26,Evening,UPI,Delivered,45,39,378.34
92,145,16,,249401,2026-06-21,Other,UPI,Delivered,45,22,396.72
93,196,19,,247667,2026-06-22,Evening,UPI,Cancelled,45,38,242.24
94,57,11,,249401,2026-05-31,Evening,COD,Delivered,45,15,511.71
95,222,18,,250001,2026-06-03,Evening,UPI,Delivered,45,48,586.84
96,212,18,,247232,2026-06-02,Morning,COD,Delivered,45,39,590.02
97,127,16,,250002,2026-05-19,Morning,UPI,Delivered,45,20,1243.34
98,331,6,,247667,2026-04-30,Evening,COD,Delivered,45,50,379.43
99,447,9,FLAT75,251002,2026-06-26,Afternoon,UPI,Delivered,45,49,319.84
100,328,16,,247001,2026-06-10,Evening,COD,Delivered,45,45,925.67
101,57,11,,247004,2026-06-21,Morning,UPI,Delivered,45,30,1245.53
102,51,8,NEWYEAR100,248003,2026-06-28,Evening,UPI,Delivered,45,17,175.66
103,281,6,,247667,2026-06-20,Evening,COD,Delivered,45,44,484.48
104,370,20,,250002,2026-04-13,Other,UPI,Delivered,45,41,933.83
105,363,19,,249402,2026-06-22,Morning,UPI,Delivered,45,57,351.32
106,221,19,,250002,2026-06-23,Morning,UPI,Delivered,45,47,220.9
107,464,13,,247003,2026-06-28,Evening,COD,Delivered,45,15,1279.86
108,381,19,,247004,2026-05-27,Evening,UPI,Delivered,45,45,750.81
109,259,8,,251002,2026-06-22,Other,UPI,Delivered,45,48,721.28
110,185,6,,247667,2026-06-07,Evening,UPI,Delivered,45,20,222.55
